Url,DomainNameLength,UrlEntropy,PercentageNumericChars,DotCount,TokenCount,SubdomainCount,HasHyphenInDomain,NumberOfDigits,TldPopularity,TldLength,HyphenRatio,VeryShortTokenCount,AverageTokenLength,HasBrandPrefix,DigitToLengthRatio,ConsonantClusterScore,IsAllSubdomain,IsRandomString,RepeatedCharScore,VowelConsonantRatio,UnigramRarity,LevenshteinToBrands,BigramEnglishScore,CharacterTransitionScore,RepeatedNGramScore,ClassLabel
majorwoodworking.com.au,23,3.5840125,0,2,3,1,0,0,1,2,0,1,7,0,0,0,1,0,0.5,0.375,0,0,0.26666668,0,0,0
onlinepregnancycare.com,23,3.5013978,0,1,2,0,0,0,1,3,0,0,11,0,0,0,0,0,0,0.42105263,0,0,0.2777778,0,0,0
cafereminiscence.com,20,3.2219281,0,1,2,0,0,0,1,3,0,0,9.5,0,0,0,0,0,0,0.4375,0,0,0.33333334,0,0,0
biledroben.ru,13,3.2389014,0,1,2,0,0,0,1,2,0,1,6,0,0,0,0,0,0,0.4,0,0.3,0.22222222,0,0,0
psr.org,7,2.5216408,0,1,2,0,0,0,1,3,0,0,3,0,0,0.5,0,0,0,0,0,0,0,0,0,1
telerobot.mech.uwa.edu.au,25,3.5736606,0,4,5,3,0,0,1,2,0,1,4.2,0,0,0,1,0,0,0.44444445,0,0.39999998,0.125,0,0,1
riediedeep.info,15,2.9232316,0,1,2,0,0,0,0,4,0,0,7,0,0,0,0,0,0.5,0.6,0,0.39999998,0.22222222,0,0.2,0
zip3.ru,7,2.807355,0.14285715,1,2,0,0,1,1,2,0,1,3,0,0.14285715,0,0,0,0,0.33333334,0,0.4,0,0,0,0
keemy.butlerelectricsupply.com,30,3.7362435,0,2,3,1,0,0,1,3,0,0,9.333333,0,0,0.2,1,0,0.5,0.6,0,0.7,0,0,0,0
heavenboundministry.com,23,3.9690018,0,1,2,0,0,0,1,3,0,0,11,0,0,0.2857143,0,0,0,0.42105263,0,0,0.33333334,0,0,0
aasrvalleyofjax.org,19,3.5110855,0,1,2,0,0,0,1,3,0,0,9,0,0,0.16666667,0,0,0.5,0.46666667,0,0,0,0,0,1
osaps.org,9,2.7254806,0,1,2,0,0,0,1,3,0,0,4,0,0,0,0,0,0,0.4,0,0.4,0,0,0,1
indiancatering.sg,17,3.2927701,0,1,2,0,0,0,0,2,0,1,8,0,0,0,0,0,0,0.42857143,0,0.100000024,0.53846157,0,0,0
thewrongadvices.com,19,3.932138,0,1,2,0,0,0,1,3,0,0,9,0,0,0,0,0,0,0.33333334,0,0,0.35714287,0,0,1
swabeyogilvyrenault.tel,23,3.8492239,0,1,2,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0.47368422,0,0,0.11111111,0,0,1
vtour.co.il,11,3.0957954,0,2,3,1,0,0,0,2,0,2,3,0,0,0,1,0,0,0.4,0,0.5,0.5,0,0,0
equalpartnersinc.org,20,3.7841837,0,1,2,0,0,0,1,3,0,0,9.5,0,0,0.16666667,0,0,0,0.375,0,0,0.13333334,0,0,0
oskabilgisayar.com,18,3.5724313,0,1,2,0,0,0,1,3,0,0,8.5,0,0,0,0,0,0,0.5,0,0,0.07692308,0,0,0
toyota.co.jp,12,2.8553886,0,2,3,1,0,0,1,2,0,2,3.3333333,0,0,0,1,0,0,0.6666667,0,0.5,0.2,0,0,1
usa.dupontteijinfilms.com,25,3.8936605,0,2,3,1,0,0,1,3,0,0,7.6666665,0,0,0.25,1,0,0,0.6666667,0,0,0,0,0,1
nostubesaver.com,16,3.625,0,1,2,0,0,0,1,3,0,0,7.5,0,0,0,0,0,0,0.41666666,0,0.3,0.18181819,0,0,0
dmv.state.pa.us,15,3.1898983,0,3,4,2,0,0,0,2,0,2,3,0,0,0.2,1,0,0,0,0,0,0,0,0,1
shredcases.com.br,17,3.3371754,0,2,3,1,0,0,1,2,0,1,5,0,0,0.2,1,0,0,0.3,0,0.3,0.33333334,0,0,0
montreal-convention.com,23,3.4800837,0,1,3,0,1,0,1,3,0.04347826,0,7,0,0,0.14285715,0,0,0,0.3888889,0,0,0.2777778,0,0,1
egyptsupermarkets.com,21,3.6897037,0,1,2,0,0,0,1,3,0,0,10,0,0,0.14285715,0,0,0,0.3529412,0,0,0.0625,0,0,1
italian-grammar.italianforyou.com,33,3.65729,0,2,4,1,1,0,1,3,0.030303031,0,7.5,0,0,0,1,0,0.5,0.42857143,0,0.100000024,0.14285715,0,0,1
pixelrage.org,13,3.2389014,0,1,2,0,0,0,1,3,0,0,6,0,0,0,0,0,0,0.44444445,0,0.3,0,0,0,1
4real-estate.com,16,3.4528196,0.0625,1,3,0,1,1,1,3,0.0625,0,4.6666665,0,0.0625,0,0,0,0,0.5,0,0.100000024,0.27272728,0,0,1
vyuz.com,8,3,0,1,2,0,0,0,1,3,0,0,3.5,0,0,0,0,0,0,0.5,0,0.4,0,0,0,1
fibrogen.com,12,3.4182959,0,1,2,0,0,0,1,3,0,0,5.5,0,0,0,0,0,0,0.375,0,0.39999998,0.14285715,0,0,1
riverrecording.com,18,3.2810361,0,1,2,0,0,0,1,3,0,0,8.5,0,0,0,0,0,0.5,0.35714287,0,0.100000024,0.3846154,0,0,1
paypal.co.uk.user2hq7bt42c6p.settingsppup.com,45,4.288765,0.11111111,5,6,4,0,5,1,3,0,2,6.6666665,0,0.11111111,0.2,1,0,0,0.5,0,0.9,0,0,0,0
favisinc.com,12,3.251629,0,1,2,0,0,0,1,3,0,0,5.5,0,0,0,0,0,0,0.375,0,0.39999998,0.2857143,0,0,0
bmoviecentral.com,17,3.6168747,0,1,2,0,0,0,1,3,0,0,8,0,0,0.2,0,0,0,0.3846154,0,0,0.083333336,0,0,1
